GeneID	GSM6423489	GSM6423490	GSM6423495	GSM6423496	GSM6423497	GSM6423498	GSM6423499	GSM6423500
100287102	2	7	1	1	2	3	6	4
653635	417	556	189	158	323	366	384	398
102466751	9	22	3	4	5	8	8	18
107985730	2	1	0	1	0	0	0	1
100302278	0	0	0	0	0	0	0	0
645520	0	1	0	2	2	1	3	1
79501	0	0	0	0	0	0	0	0
100996442	96	111	9	24	23	20	22	14
729737	1242	1574	101	177	134	168	177	123
102725121	7	8	3	3	8	9	7	8
102723897	465	566	219	158	351	380	478	441
102465909	9	17	3	1	3	8	8	8
107985721	2	1	0	0	1	0	2	0
112268260	61	70	2	10	8	9	7	6
729759	0	0	1	0	0	0	0	0
100132287	502	701	83	132	84	88	125	87
105378947	4	6	0	1	0	0	0	0
101928626	0	0	0	0	0	0	1	0
113219467	610	486	237	319	473	402	503	433
81399	20	28	1	5	3	2	1	1
100133331	517	838	83	182	119	107	143	100
107984841	143	245	22	53	34	34	41	29
107984847	253	368	37	88	47	55	79	46
107984849	63	89	3	11	7	12	13	8
100288069	171	213	38	70	31	33	40	32
105378580	19	19	7	5	8	7	2	3
400728	5	8	5	6	2	3	1	1
79854	56	70	13	12	18	10	15	11
643837	869	722	126	229	158	136	136	182
107984850	6	2	0	0	0	0	0	0
284593	2	2	1	0	2	1	3	1
284600	12	17	24	31	15	10	20	14
100130417	3	18	16	13	0	4	1	4
107985728	12	25	13	16	0	0	0	1
148398	753	812	179	119	266	276	290	356
26155	13020	12828	2983	1774	5387	5017	5287	6766
339451	391	603	125	85	351	494	622	416
84069	378	916	139	77	134	169	179	184
84808	41	85	19	14	12	26	22	24
57801	301	434	50	48	119	180	163	107
9636	1654	4311	283	198	568	681	755	876
375790	16494	22541	9038	7150	4003	4822	5780	4034
100288175	122	181	199	125	162	189	263	232
112267874	45	88	52	43	42	61	79	77
105378948	84	134	120	90	98	117	166	151
401934	109	135	2	2	4	9	13	17
54991	643	593	159	137	724	858	805	830
254099	0	0	0	0	0	0	0	0
406984	0	1	0	0	1	1	2	2
406983	2	4	0	0	1	2	5	3
554210	13	12	0	0	5	4	5	8
100506376	1	3	0	0	3	4	4	0
254173	6	9	0	0	4	6	6	9
8784	3	16	0	0	121	145	127	114
7293	0	4	4	1	1	2	4	2
51150	5087	6433	2897	1887	6080	6473	6381	8111
126792	484	606	608	475	1144	1181	952	1412
388581	9	17	2	3	8	12	17	8
118424	2150	2123	1425	953	2352	2309	2200	2637
101928895	16	12	25	37	27	47	68	33
6339	70	82	99	94	122	154	223	168
116983	890	1319	471	296	1326	1543	1616	1263
102465434	0	0	0	0	1	1	1	1
109623456	2	3	0	1	1	2	3	2
126789	443	531	185	147	500	430	462	568
54973	4063	4571	1538	1003	2841	3045	3217	3120
102465435	22	14	10	4	9	7	7	17
80772	918	1161	404	290	1708	1750	1685	2127
83756	38	87	13	11	16	21	30	51
1855	2591	2937	1131	837	5104	5283	5183	5607
102466740	2	5	2	1	5	4	4	5
54587	223	312	90	97	219	280	286	235
54998	2055	2212	707	402	2148	2185	2125	2755
81669	2977	3654	1169	1381	2575	3242	3671	2765
148413	967	1105	445	291	425	446	496	586
55052	2247	2137	723	455	1519	1522	1572	1939
107984868	76	72	2	0	2	0	1	1
441869	782	997	2	0	1	0	0	1
105378585	71	120	0	0	0	2	0	2
643965	7	7	0	0	0	0	0	0
102724312	7	17	1	1	1	0	1	0
107985729	6	25	0	0	0	1	2	1
64856	1862	2457	126	72	140	169	193	166
219293	186	197	51	27	89	112	100	141
83858	3805	3696	621	478	2861	2618	2204	3122
55210	4533	4745	1265	766	3520	3378	3191	3929
339453	2	3	1	4	6	9	7	3
29101	4360	4560	1453	934	4286	4371	4370	4864
643988	178	173	103	65	97	119	113	129
105378586	11	19	9	7	9	13	7	8
142678	1309	1818	378	271	1972	2074	2258	2686
8510	11	29	10	7	49	61	49	48
984	3868	4366	934	670	2888	2970	3066	3554
728661	898	1285	569	551	1801	2122	2237	2021
8511	8	21	0	2	20	31	23	16
728642	2656	3029	643	489	1053	1127	1177	1321
9906	1300	1656	119	100	382	425	473	380
112268218	117	153	39	34	110	105	99	122
65220	2292	2720	679	564	1981	2199	2259	2343
2782	16869	21345	5754	5107	14732	15580	16318	14658
105378949	25	21	21	18	9	13	13	13
163688	14	7	15	12	4	5	11	2
339456	16	21	35	16	99	126	139	131
85452	5	6	3	3	2	5	3	0
107984872	4	3	1	0	1	1	0	1
105378589	0	0	1	1	0	0	1	0
2563	7	3	45	33	0	0	3	3
105378590	0	0	0	0	0	0	0	0
